House No,Street Address,City,Latitude,Longitude,FormattedAddress,ID Obtained,Initial Inspection,Detailed Inspection,Report Development,Report Filed
109,Gold St,Brooklyn,40.70169300000001,-73.982539,"109 Gold St, Brooklyn, NY 11201, USA",253.0,not_planned,planned,not_started,Draft Stage
132-35,Sanford Avenue,Queens,40.755608,-73.83209719999999,"132-35 Sanford Ave, Flushing, NY 11355, USA",,completed,completed,not_started,Draft Stage
132-40,Sanford Ave,Queens,40.7549972,-73.83166,"132-40 Sanford Ave, Flushing, NY 11355, USA",,not_planned,TBD,51_percent_complete,Draft Stage
133-17,Sanford Ave,Queens,40.7562025,-73.8303047,"133-17 Sanford Ave, Flushing, NY 11355, USA",,completed,not_needed,not_started,Draft Stage
136-04,Cherry Ave,Queens,40.7525098,-73.8265378,"136-04 Cherry Ave, Flushing, NY 11355, USA",456.0,completed,planned,not_started,Draft Stage
142-20,Franklin Ave,Queens,40.7564561,-73.8227474,"142-20 Franklin Ave, Flushing, NY 11355, USA",,completed,,,Yes
156-08,Riverside Drive West,New York,40.8349559,-73.9487248,"156-08 Riverside Dr W, New York, NY 10032, USA",,,planned,,
222,Lenox Road,Brooklyn,40.6535886,-73.9516775,"222 Lenox Rd, Brooklyn, NY 11226, USA",,completed,completed,,
2400,Nostrand Ave,Brooklyn,40.6254903,-73.9469118,"2400 Nostrand Ave, Brooklyn, NY 11210, USA",,,,,Yes
2800,Heath Avenue,Bronx,40.8727865,-73.90419159999999,"2800 Heath Ave, Bronx, NY 10463, USA",,planned,planned,reviewed,Draft Stage
3202,Nostrand Ave,Brooklyn,40.6058107,-73.94324639999999,"3202 Nostrand Ave, Brooklyn, NY 11229, USA",,,,,
330,East 19 st,Brooklyn,40.6420586,-73.96099269999999,"330 E 19th St, Brooklyn, NY 11226, USA",,,,,
405,East 16th Street,Brooklyn,40.6406845,-73.9630846,"405 E 16th St, Brooklyn, NY 11226, USA",,,,,
4360,Baychester Avenue,Bronx,40.8989373,-73.84561099999999,"4360 Baychester Ave, Bronx, NY 10466, USA",,,,,
441,Convent Avenue,New York,40.8271909,-73.9438241,"441 Convent Ave, New York, NY 10031, USA",,,,,
470,Ocean Avenue,Brooklyn,40.6513618,-73.9615075,"470 Ocean Ave, Brooklyn, NY 11226, USA",,,,,
63-70/74,Austin Street,Queens,40.7269586,-73.8635046,"63-70 Austin St, Rego Park, NY 11374, USA",,,,,
63-90/94,Austin Street,Queens,40.7271041,-73.8631166,"63-90 Austin St, Rego Park, NY 11374, USA",,,,,
69,Bennett Ave,New York,40.8527429,-73.93529699999999,"69 Bennett Ave, New York, NY 10033, USA",,,,,
775,Riverside Drive,New York,40.8348105,-73.9480921,"775 Riverside Dr, New York, NY 10032, USA",,,,,
815,Gravesend Neck Road,Brooklyn,40.594575,-73.96171149999999,"815 Gravesend Neck Rd, Brooklyn, NY 11223, USA",,,,,
85-05,35th Avenue,Queens,40.7523852,-73.8812774,"Queen Elizabeth Apartments, 85-05 35th Ave, Jackson Heights, NY 11372, USA",,,,,
