Pinnacle Properties,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
House No,Street Address,City,Zip,Block No,Lot No,Bldg Owner,Garage,Garage Spaces,Garage SF,Year Built,Mgmt Of,Bldg Type,Field Manager,Portfolio,Community Board,District,Supers,PSID,Initial Obs. Approval,PIPS Approval,Status
10,Columbia Pl,Brooklyn,11201,258,17,Joralemon Realty NY LLC,,,,1900,Building,Rental,Eddie Lejesnjanin ,Zarasai,302,2,,,,,
1023,Carroll Street,Brooklyn,11225,1281,1,1023 Realty LLC,,0,,1905,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
1038,Union Street,Brooklyn,11225,1273,16,1038 Realty LLC,,0,,1916,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
1042,Union Street,Brooklyn,11225,1273,20,1042 Realty LLC,,0,,1920,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
1048,Union Street,Brooklyn,11225,1273,23,1048 Realty LLC,,0,,1920,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
105,Bennett Avenue,New York,10033,2180,7505,The Bennett 105 Condominium ,,,,1926,Shares,Coop,Abidin Radoncic,Zarasai,112,2,,,,,
1060,Union Street,Brooklyn,11225,1273,25,1060 Realty LLC,,0,,1920,Building,Rental,Eddie Ljesnjanin,Zarasai,309,9,,,,,
1075,Sheepshead Bay Road,Brooklyn,11229,,1,1075 Sheepshead Owners Corp.,Garage,,,,Shares,Coop,David Rose,,,,,,,,
109-20,Queens Blvd.,Queens,11375,3258,7501,The Georgian Condominium ,,,,1930,Shares,Coop,Tal Sharon,Zarasai,406,6,,,,,
11,Hillside Ave,New York,10040,2170,105,Hillside Realty 1 Co. LLC,,0,,1926,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
109,Gold St,Brooklyn,11201,56,2,109 Gold LLC,Garage,17,,2010,Building,Rental,Marc Bahorin,Zarasai,302,2,,,,,
1110,Stadium Avenue,Bronx,10465,5409,41,1110/1130 Stadium Owners Corp.,Lot,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
1130,Stadium Avenue,Bronx,10465,5409,49,1110/1130 Stadium Owners Corp.,Lot,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
115,East 21st Street,Brooklyn,11232,5082,79,115-21 Realty Co. LLC,,,,1937,Building,Rental,Eddie Lejesnjanin ,Zarasai,314,4,,,,,
1151,Brighton Beach Avenue,Brooklyn,11235,,1002,1151 Brighton Owners Corp.,,,,,Shares,Coop,David Rose,,,,,,,,
1171,President Street,Brooklyn,11225,1275,54,1171 President LLC,,,,1923,Building,Rental,Eddie Lejesnjanin ,Zarasai,309,9,,,,,
11A,West 84th Street,New York,10024,1198,24,84 Associates NY LLC,,,,1911,Building,Rental,Elinor Arzt,,107,7,,,,,
12-34,Crown Street,Brooklyn,11225,1190,7501,The Crown 12 Condominium ,,0,,1930,Building,Coop,Eddie Lejesnjanin ,Zarasai,309,9,,,,,
