Pinnacle Properties,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
House No,Street Address,City,PSID,Initial Inspection,Detailed Inspection,Report Development,Report filed
109,Gold St,Brooklyn,,,,,
132-35,Sanford Avenue,Queens,,,,,
132-40,Sanford Ave,Queens,,,,,
133-17,Sanford Ave,Queens,,,,,
136-04,Cherry Ave,Queens,Assigned,Done,,,
142-20,Franklin Ave,Queens,Not assigned,,,,
156-08,Riverside Drive West,New York,,,,,
222,Lenox Road,Brooklyn,,,,,
2400,Nostrand Ave,Brooklyn,,,,,
2800,Heath Avenue,Bronx,,,,,
3202,Nostrand Ave,Brooklyn,Issued,Done,,,
330,East 19 st,Brooklyn ,,,,,
405,East 16th Street,Brooklyn,,,,,
4360,Baychester Avenue,Bronx,,,,,
441,Convent Avenue,New York,Not assigned,,,,
470,Ocean Avenue,Brooklyn,,,,,
63-70/74,Austin Street,Queens,Issued,Done,,,
63-90/94,Austin Street,Queens,Issued,Done,,,
69,Bennett Ave,New York,Not assigned,,,,
775,Riverside Drive,New York,,,,,
815,Gravesend Neck Road,Brooklyn,,,,,
85-05,35th Avenue,Queens,,,,,
86-06,35th Avenue,Queens,,,,,
86-20,Park Lane South,Queens,,,,,
87-50,Kingston Place,Queens,,,,,
94-06,34th Avenue,Queens,,,,,
97-25,64th Ave,Queens,Assigned,Done,,,
,,,,,,,
Koren ,,,,,,,
522,Lefferts Ave,Brooklyn,Assigned,Done,,,
497,St. Marks Ave,Brooklyn,Assigned,Done,,,
29,McDonough Street,Brooklyn,Not Reqd.,Done,,,
482,Franklin Ave,Brooklyn,Assigned,Done,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
AA Properties,,,,,,,
1030,Ocean Ave,Brooklyn,Assigned,,,,
10,Stratford Road,Brooklyn,Assigned,,,,
1000,Gates Ave,Brooklyn,Not Assigned,,,,
3040,West 22nd Street,Brooklyn,Not Assigned,,,,
611,East76th Street,Brooklyn,Not Assigned,,,,
,,,,,,,
Goldfarb Properties,,,,,,,
1742,Morris Ave,Bronx,Not assigned,,,,
930,Sheridan Ave,Bronx,Assigned,,,,
1700,Grand concourse,Bronx,Assigned,,,,
1981,Sedgewick Ave,Bronx,Assigned,,,,
1130,Pelham Parkway,Bronx,Assigned,,,,
1135,Pelham Parkway,Bronx,Assigned,,,,
1540,Pelham Parkway,Bronx,Assigned,,,,
2160,Matthews Ave,Bronx,Assigned,,,,
2400,Webb Ave,Bronx,Not assigned,,,,
20-02,Seagirt Blvd,Queens,Issued,,,,
20-21,Seagirt Blvd,Queens,Not assigned,,,,
20-24,Seagirt Blvd,Queens,Not assigned,,,,
20-33,Seagirt Blvd,Queens,Not assigned,,,,
20-50,Seagirt Blvd,Queens,Not assigned,,,,
20-57,Seagirt Blvd,Queens,Not assigned,,,,
1770,Grand concourse,Bronx,Assigned,,,,
,,,,,,,
,,,,,,,
1250,Ocean Parkway,Brooklyn,Issued,Done,,,
